TABLE|POLICY_TYPE|POLICY_NAME|MIGRATION_FILE
scheduled_notifications|UPDATE|Users|20251230_scheduled_notifications.sql
notification_templates|SELECT|Users|20251230_scheduled_notifications.sql
notification_templates|ALL|Users|20251230_scheduled_notifications.sql
notification_log|SELECT|Users|20251230_scheduled_notifications.sql
storage.objects|SELECT|Users|20251230_whatsapp_media_bucket.sql
storage.objects|DELETE|Users|20251230_whatsapp_media_bucket.sql
whatsapp_media_metadata|SELECT|Users|20251230_whatsapp_media_bucket.sql
whatsapp_messages|SELECT|Users|20251230_whatsapp_messages.sql
whatsapp_messages|UPDATE|Users|20251230_whatsapp_messages.sql
whatsapp_conversations|SELECT|Users|20251230_whatsapp_messages.sql
whatsapp_sentiment_aggregates|SELECT|Users|20251231_whatsapp_sentiment_aggregates.sql
user_tour_progress|SELECT|Users|20260107_add_user_tour_progress.sql
user_tour_progress|INSERT|Users|20260107_add_user_tour_progress.sql
user_tour_progress|UPDATE|Users|20260107_add_user_tour_progress.sql
onboarding_context_captures|onboarding_context_captures|Users|20260107_apply_onboarding_context_captures_safe.sql
onboarding_context_captures|onboarding_context_captures|Users|20260107_apply_onboarding_context_captures_safe.sql
onboarding_context_captures|onboarding_context_captures|Users|20260107_apply_onboarding_context_captures_safe.sql
onboarding_context_captures|onboarding_context_captures|Users|20260107_apply_onboarding_context_captures_safe.sql
contact_network|SELECT|IF|20260108_contact_google_sync.sql
contact_network|INSERT|IF|20260108_contact_google_sync.sql
contact_network|UPDATE|IF|20260108_contact_google_sync.sql
contact_network|DELETE|IF|20260108_contact_google_sync.sql
whatsapp_sync_logs|whatsapp_sync_logs|Users|20260108_whatsapp_contact_network.sql
work_items|SELECT|IF|20260108_work_items_enhancements.sql
work_items|INSERT|IF|20260108_work_items_enhancements.sql
work_items|UPDATE|IF|20260108_work_items_enhancements.sql
work_items|DELETE|IF|20260108_work_items_enhancements.sql
